store_nbr,day_month,day_rep,day_off_store
52,04-18,4,1
52,04-19,4,1
52,04-20,4,1
52,04-21,4,1
52,04-22,4,1
52,04-23,4,1
52,04-24,4,1
52,04-25,4,1
52,04-26,4,1
52,04-27,4,1
52,04-28,4,1
52,04-29,4,1
52,04-30,4,1
52,05-01,4,1
52,05-02,4,1
52,05-03,4,1
52,05-04,4,1
52,05-05,4,1
52,05-06,4,1
52,05-07,4,1
52,05-08,4,1
52,05-09,4,1
52,05-10,4,1
52,05-11,4,1
52,05-12,4,1
52,05-13,4,1
52,05-14,4,1
52,05-15,4,1
52,05-16,4,1
52,05-17,4,1
52,05-18,4,1
52,05-19,4,1
52,05-20,4,1
52,05-21,4,1
52,05-22,4,1
52,05-23,4,1
52,05-24,4,1
52,05-25,4,1
52,05-26,4,1
52,05-27,4,1
52,05-28,4,1
52,05-29,4,1
52,05-30,4,1
52,05-31,4,1
52,06-01,4,1
52,06-02,4,1
52,06-03,4,1
52,06-04,4,1
52,06-05,4,1
52,06-06,4,1
52,06-07,4,1
52,06-08,4,1
52,06-09,4,1
52,06-10,4,1
52,06-11,4,1
52,06-12,4,1
52,06-13,4,1
52,06-14,4,1
52,06-15,4,1
52,06-16,4,1
52,06-17,4,1
52,06-18,4,1
52,06-19,4,1
52,06-20,4,1
52,06-21,4,1
52,06-22,4,1
52,06-23,4,1
52,06-24,4,1
52,06-25,4,1
52,06-26,4,1
52,06-27,4,1
52,06-28,4,1
52,06-29,4,1
52,06-30,4,1
52,07-01,4,1
52,07-02,4,1
52,07-03,4,1
52,07-04,4,1
52,07-05,4,1
52,07-06,4,1
52,07-07,4,1
52,07-08,4,1
52,07-09,4,1
52,07-10,4,1
52,07-11,4,1
52,07-12,4,1
52,07-13,4,1
52,07-14,4,1
52,07-15,4,1
52,07-16,4,1
52,07-17,4,1
52,07-18,4,1
52,07-19,4,1
52,07-20,4,1
52,07-21,4,1
52,07-22,4,1
52,07-23,4,1
52,07-24,4,1
52,07-25,4,1
52,07-26,4,1
52,07-27,4,1
52,07-28,4,1
52,07-29,4,1
52,07-30,4,1
52,07-31,4,1
52,08-01,4,1
52,08-02,4,1
52,08-03,4,1
52,08-04,4,1
52,08-05,4,1
52,08-06,4,1
52,08-07,4,1
52,08-08,4,1
52,08-09,4,1
52,08-10,4,1
52,08-11,4,1
52,08-12,4,1
52,08-13,4,1
52,08-14,4,1
52,08-15,4,1
52,08-16,4,1
52,08-17,4,1
52,08-18,4,1
52,08-19,4,1
52,08-20,4,1
52,08-21,4,1
52,08-22,4,1
52,08-23,4,1
52,08-24,4,1
52,08-25,4,1
52,08-26,4,1
52,08-27,4,1
52,08-28,4,1
52,08-29,4,1
52,08-30,4,1
52,08-31,4,1
52,09-01,4,1
52,09-02,4,1
52,09-03,4,1
52,09-04,4,1
52,09-05,4,1
52,09-06,4,1
52,09-07,4,1
52,09-08,4,1
52,09-09,4,1
52,09-10,4,1
52,09-11,4,1
52,09-12,4,1
52,09-13,4,1
52,09-14,4,1
52,09-15,4,1
52,09-16,4,1
52,09-17,4,1
52,09-18,4,1
52,09-19,4,1
52,09-20,4,1
52,09-21,4,1
52,09-22,4,1
52,09-23,4,1
52,09-24,4,1
52,09-25,4,1
52,09-26,4,1
52,09-27,4,1
52,09-28,4,1
52,09-29,4,1
52,09-30,4,1
52,10-01,4,1
52,10-02,4,1
52,10-03,4,1
52,10-04,4,1
52,10-05,4,1
52,10-06,4,1
52,10-07,4,1
52,10-08,4,1
52,10-09,4,1
52,10-10,4,1
52,10-11,4,1
52,10-12,4,1
52,10-13,4,1
52,10-14,4,1
52,10-15,4,1
52,10-16,4,1
52,10-17,4,1
52,10-18,4,1
52,10-19,4,1
52,10-20,4,1
52,10-21,4,1
52,10-22,4,1
52,10-23,4,1
52,10-24,4,1
52,10-25,4,1
52,10-26,4,1
52,10-27,4,1
52,10-28,4,1
52,10-29,4,1
52,10-30,4,1
52,10-31,4,1
52,11-01,4,1
52,11-02,4,1
52,11-03,4,1
52,11-04,4,1
52,11-05,4,1
52,11-06,4,1
52,11-07,4,1
52,11-08,4,1
52,11-09,4,1
52,11-10,4,1
52,11-11,4,1
52,11-12,4,1
52,11-13,4,1
52,11-14,4,1
52,11-15,4,1
52,11-16,4,1
52,11-17,4,1
52,11-18,4,1
52,11-19,4,1
52,11-20,4,1
52,11-21,4,1
52,11-22,4,1
52,11-23,4,1
52,11-24,4,1
52,11-25,4,1
52,11-26,4,1
52,11-27,4,1
52,11-28,4,1
52,11-29,4,1
52,11-30,4,1
52,12-01,4,1
52,12-02,4,1
52,12-03,4,1
52,12-04,4,1
52,12-05,4,1
52,12-06,4,1
52,12-07,4,1
52,12-08,4,1
52,12-09,4,1
52,12-10,4,1
52,12-11,4,1
52,12-12,4,1
52,12-13,4,1
52,12-14,4,1
52,12-15,4,1
52,12-16,4,1
52,12-17,4,1
52,12-18,4,1
52,12-19,4,1
52,12-20,4,1
52,12-21,4,1
52,12-22,4,1
52,12-23,4,1
52,12-24,4,1
52,12-25,4,1
52,12-26,4,1
52,12-27,4,1
52,12-28,4,1
52,12-29,4,1
52,12-30,4,1
52,12-31,4,1
53,01-01,4,1
53,12-25,4,1
54,01-01,4,1
54,12-25,4,1
